,Name,Area,GlobalID,geometry,Access,Stage
79,Escola Básica Alice Vieira,Olivais,9de12364-82d7-4b35-8c27-33d268513600,POINT (-9.11366635212619 38.7606564977357),Private,First
80,Escola Básica Sarah Afonso,Olivais,351ad92d-67d2-4b71-a55f-8e4436e3f27f,POINT (-9.1088286840993 38.7592329420447),Private,First
81,Escola Básica Manuel Teixeira Gomes,Marvila,ef721ce6-298f-46e1-af17-901d39535331,POINT (-9.11134251508333 38.7533788703132),Private,First
0,Escola Básica de São João de Brito,Alvalade,37f1d9e2-e4a4-4781-9467-17024b0eeebc,POINT (-9.13752911855158 38.7560454034636),Public,First
1,Escola Básica Professora Aida Vieira,Carnide,4627c94e-cc5e-40cb-bab4-83970991efb9,POINT (-9.19261340827231 38.7676799464446),Public,First
2,Jardim de Infância do Bairro Padre Cruz,Carnide,1a55a00a-9474-4c57-9a2e-128788e3a5be,POINT (-9.189706899982 38.7688164305399),Public,First
3,Escola Básica Gaivotas,Misericórdia,5c263eab-c028-4eb6-9f2e-a4afbf904eb9,POINT (-9.14517808575277 38.7105488065443),Public,First
4,Escola Básica Padre Abel Varzim,Misericórdia,bec1da21-14b6-41e9-8434-757bde2ce853,POINT (-9.14548586908564 38.7138347291176),Public,First
5,Escola Básica Luísa Ducla Soares,Santo António,0ad340f6-aee5-463c-b8f5-fc2c26c251b4,POINT (-9.14379266907125 38.7221275261581),Public,First
6,Escola Básica de São José,Santo António,794e9819-98ee-47a7-8d62-efcdc04d2a7c,POINT (-9.14185940623264 38.7191934121605),Public,First
7,Escola Básica Pedro de Santarém,Benfica,6279f840-84a6-45c0-a3ac-567dd49ecadc,POINT (-9.19467287345015 38.7488093488151),Public,First
8,Escola Básica Jorge Barradas,Benfica,51dbed38-bad1-4e6a-8dc8-f0cc02f60623,POINT (-9.20358304445156 38.7557505495183),Public,First
9,Escola Básica Arquitecto Gonçalo Ribeiro Telles,Benfica,543becbf-dcae-497e-8101-e085bfd84061,,Public,First
10,Jardim de Infância N.º 1 de Benfica ,Benfica,9840598a-ad9d-4fd2-bd3d-c3d371916a31,POINT (-9.19691729072167 38.7475041931688),Public,First
